"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
2008-03-01,4958,984,2065,93,362,742,112,14910,152,387,1170,290,215,72,1322,1905,81
2008-04-01,7022,1352,2730,162,585,987,188,20404,251,563,1128,373,452,121,1848,2549,92
2008-05-01,4561,984,1766,115,385,702,132,14197,207,440,731,226,294,99,1344,2155,56
2008-06-01,5134,1104,1962,125,507,694,140,15345,227,506,770,313,395,104,1587,1711,66
2008-07-01,5049,1079,1788,129,464,822,133,14672,202,435,694,263,350,112,1413,1652,87
2008-08-01,4718,829,1702,129,420,701,121,13439,180,422,680,239,329,111,1271,1521,66
2008-09-01,5209,1234,2146,155,412,710,140,15402,218,523,824,286,339,100,1417,1614,74
2008-10-01,5357,1097,1850,117,480,776,147,15376,194,513,946,299,356,86,1437,1625,96
2008-11-01,4427,973,1733,101,399,758,129,13437,170,405,807,244,319,65,1311,1531,65
2008-12-01,4792,947,2046,81,444,850,172,14574,171,441,859,273,299,92,1345,1669,92
2009-01-01,4357,848,1649,120,379,637,110,12643,166,341,793,243,297,72,1196,1365,69
2009-02-01,4325,895,2245,94,404,740,113,14333,164,395,999,264,266,93,1358,1899,77
2009-03-01,6671,1180,2864,138,527,1000,183,20368,239,518,1407,354,342,79,1926,2856,83
2009-04-01,5138,1061,1974,105,468,873,152,15318,197,449,905,247,325,89,1458,1791,86
2009-05-01,7081,1550,2901,164,608,1055,189,21124,301,599,1105,422,477,173,2047,2340,110
2009-06-01,4649,908,1868,124,452,704,154,13807,194,425,739,260,327,113,1280,1542,68
2009-07-01,5387,1217,2043,131,502,798,163,15895,219,522,844,312,392,125,1479,1682,77
2009-08-01,5523,1084,1918,105,500,828,122,15839,214,498,832,286,371,105,1564,1801,88
2009-09-01,4499,950,1786,121,387,675,145,13156,174,425,695,266,305,87,1284,1290,65
2009-10-01,5081,1023,1874,118,478,863,139,14795,195,414,741,298,374,106,1400,1609,82
2009-11-01,3919,918,1641,82,411,615,135,12185,153,407,834,238,261,74,1198,1252,47
2009-12-01,4566,895,1879,125,440,835,113,13871,203,427,823,227,324,100,1341,1507,66
2010-01-01,3994,844,1607,106,359,659,154,12400,173,356,977,216,302,83,1118,1396,56
2010-02-01,4386,812,1943,77,338,692,94,13318,116,296,860,237,299,46,1334,1718,69
2010-03-01,7119,1309,3290,143,588,1080,178,22828,227,574,1656,453,387,138,2113,3456,116
2010-04-01,5244,1011,2030,122,431,783,141,15442,179,529,868,281,313,99,1445,1900,66
2010-05-01,4700,986,2057,130,485,738,152,14731,238,469,823,318,350,85,1428,1703,68
2010-06-01,4439,939,1773,98,395,686,121,13448,205,414,730,303,333,96,1300,1530,86
2010-07-01,5118,1072,2021,133,464,750,151,15135,180,438,885,294,369,121,1359,1714,65
2010-08-01,5208,1109,1806,124,520,850,168,15712,207,470,937,323,370,114,1549,1855,101
2010-09-01,5218,1147,1893,123,500,812,180,15755,195,521,935,291,393,108,1542,1799,97
2010-10-01,4739,967,2214,86,439,813,150,14595,172,429,835,299,291,105,1321,1646,88
2010-11-01,4818,1010,2037,126,507,786,134,15023,188,459,911,269,402,106,1444,1750,76
2010-12-01,4659,903,1871,105,419,741,145,14018,211,470,817,266,306,114,1267,1640,83
2011-01-01,3745,808,1447,76,328,578,90,11624,164,327,906,205,251,66,1198,1354,81
2011-02-01,4135,730,2085,108,362,736,104,14200,210,376,909,348,299,68,1254,2411,65
2011-03-01,6799,1303,2726,152,550,923,217,21208,213,593,1323,361,463,115,2206,3148,116
2011-04-01,4076,832,2179,90,350,635,138,13449,171,425,803,282,278,69,1294,1733,93
2011-05-01,4768,1107,2643,130,489,737,186,16064,247,476,869,262,460,110,1486,2014,80
2011-06-01,4432,998,1816,106,429,691,143,13769,202,481,720,282,324,149,1361,1574,61
2011-07-01,4879,1114,1900,151,492,732,144,14851,192,430,839,247,355,94,1501,1709,71
2011-08-01,5647,1214,2222,154,592,999,160,17544,238,559,835,365,450,123,1777,2107,101
2011-09-01,4699,1143,1979,108,496,829,163,15167,225,500,892,318,349,110,1569,1683,103
2011-10-01,3511,885,1489,96,388,635,135,11642,202,423,717,241,306,93,1141,1309,71
